KIDS_TILE,KIDS_ID,RAJ2000,DECJ2000,MAG_AUTO,paper
KIDS_349.8_-28.2,KiDSDR4 J232039.461-281711.12,350.164421,-28.286423,18.6264,Li+20
KIDS_172.0_-1.5,KiDSDR4 J112900.041-014214.01,172.250173,-1.703894,19.8947,Li+20
KIDS_195.0_-0.5,KiDSDR4 J125834.900-004241.11,194.645418,-0.711421,16.7797,Li+20
KIDS_358.8_-35.1,KiDSDR4 J235728.351-352013.03,359.368133,-35.336955,17.2675,Li+20
KIDS_130.0_-1.5,KiDSDR4 J083933.372-014044.81,129.889052,-1.679115,17.1726,Li+20
KIDS_44.9_-27.2,KiDSDR4 J025717.233-271712.02,44.321807,-27.286673,19.3549,Li+20
KIDS_31.2_-34.1,KiDSDR4 J020554.272-342019.30,31.476136,-34.338695,18.1108,Li+20
KIDS_46.7_-29.2,KiDSDR4 J030628.054-291718.77,46.616892,-29.288548,18.6135,Li+20
KIDS_357.7_-29.2,KiDSDR4 J235255.478-291728.16,358.23116,-29.291158,18.7058,Li+20
KIDS_223.0_-0.5,KiDSDR4 J145325.778-003331.75,223.357411,-0.558822,19.2185,Li+20
KIDS_340.5_-35.1,KiDSDR4 J224258.953-351223.13,340.74564,-35.206425,17.9238,Li+20
KIDS_18.2_-29.2,KiDSDR4 J011045.486-290822.53,17.689526,-29.139593,18.1723,Li+20
KIDS_333.8_-29.2,KiDSDR4 J221400.330-292031.21,333.501378,-29.342005,20.305,Li+20
KIDS_15.9_-29.2,KiDSDR4 J010257.486-291121.76,15.739527,-29.189379,17.3922,Li+20
KIDS_208.0_0.5,KiDSDR4 J135138.926+002839.99,207.912195,0.477777,19.3643,Li+20
KIDS_37.3_-31.2,KiDSDR4 J022956.259-311022.65,37.484416,-31.172959,20.7763,Li+20
KIDS_0.0_-29.2,KiDSDR4 J235920.307-290744.83,359.834614,-29.129122,18.793,Li+20
KIDS_205.0_-0.5,KiDSDR4 J134032.074-003737.83,205.133643,-0.627175,18.0478,Li+20
KIDS_5.8_-30.2,KiDSDR4 J002141.664-301029.70,5.423603,-30.174917,19.8816,Li+20
KIDS_29.7_-33.1,KiDSDR4 J015928.393-330950.36,29.868305,-33.16399,19.3458,Li+20
KIDS_185.5_-2.5,KiDSDR4 J122335.140-021030.63,185.896418,-2.175176,18.3244,Li+20
KIDS_237.0_0.5,KiDSDR4 J154712.516+002809.44,236.80215,0.469289,19.2236,Li+20
KIDS_347.8_-35.1,KiDSDR4 J231310.384-344646.65,348.293267,-34.779625,18.3085,Li+20
KIDS_48.9_-31.2,KiDSDR4 J031516.618-310754.18,48.819245,-31.131718,17.9595,Li+20
KIDS_136.0_-0.5,KiDSDR4 J090507.336-001029.85,136.28057,-0.17496,19.5882,Li+20
KIDS_0.0_-31.2,KiDSDR4 J000012.031-310943.35,0.050133,-31.162044,19.1094,Li+20
KIDS_8.2_-31.2,KiDSDR4 J003242.839-310335.44,8.178496,-31.059847,19.3225,Li+20
KIDS_26.2_-29.2,KiDSDR4 J014518.788-290539.92,26.328284,-29.094423,19.2876,Li+20
KIDS_170.5_2.5,KiDSDR4 J112152.078+023711.11,170.466993,2.619754,19.8979,Li+20
KIDS_49.2_-34.1,KiDSDR4 J031609.185-340302.43,49.038271,-34.050677,19.6548,Li+20
KIDS_352.9_-33.1,KiDSDR4 J232911.441-324256.22,352.297671,-32.715617,19.4451,Li+20
KIDS_13.7_-29.2,KiDSDR4 J005540.416-290042.46,13.918401,-29.011797,18.4132,Li+20
KIDS_356.4_-34.1,KiDSDR4 J234338.567-335641.44,355.910697,-33.944845,18.2447,Li+20
KIDS_51.3_-29.2,KiDSDR4 J032426.994-290534.50,51.112476,-29.092917,17.9235,Li+20
KIDS_51.1_-35.1,KiDSDR4 J032230.223-344711.77,50.625931,-34.786604,19.2035,Li+20
KIDS_186.0_0.5,KiDSDR4 J122456.016+005048.05,186.233401,0.846682,17.9561,Li+20
KIDS_177.5_2.5,KiDSDR4 J115110.395+025642.08,177.793313,2.945024,17.8173,Li+20
KIDS_39.5_-28.2,KiDSDR4 J023714.701-280719.03,39.311257,-28.121953,17.621,Li+20
KIDS_24.2_-30.2,KiDSDR4 J013425.700-295652.42,23.607086,-29.947897,18.7333,Li+20
KIDS_183.0_-0.5,KiDSDR4 J121314.238-001434.63,183.309326,-0.242953,18.5808,Li+20
KIDS_351.0_-28.2,KiDSDR4 J232152.835-275437.68,350.47015,-27.910469,19.6479,Li+20
KIDS_222.0_0.5,KiDSDR4 J144950.559+005534.07,222.460665,0.926133,19.3929,Li+20
KIDS_43.3_-29.2,KiDSDR4 J025334.181-284611.92,43.392423,-28.769978,19.818,Li+20
KIDS_16.3_-31.2,KiDSDR4 J010606.232-310437.84,16.525969,-31.07718,17.9758,Li+20
KIDS_183.0_1.5,KiDSDR4 J121319.575+014736.02,183.331564,1.793341,17.6254,Li+20
KIDS_195.5_2.5,KiDSDR4 J130115.900+025240.95,195.316253,2.878043,18.2863,Li+20
KIDS_340.5_-35.1,KiDSDR4 J224308.305-344213.02,340.784606,-34.703619,19.0927,Li+20
KIDS_4.6_-29.2,KiDSDR4 J001810.363-285609.54,4.54318,-28.935984,18.8359,Li+20
KIDS_206.0_-0.5,KiDSDR4 J134455.641-002015.60,206.231838,-0.337667,18.8702,Li+20
KIDS_138.0_-0.5,KiDSDR4 J091113.492-000714.23,137.80622,-0.12062,17.8836,Li+20
KIDS_343.1_-28.2,KiDSDR4 J225409.348-274934.16,343.538954,-27.826156,18.4461,Li+20
KIDS_342.0_-34.1,KiDSDR4 J224712.244-333827.77,341.801017,-33.641048,17.9418,Li+20
KIDS_40.3_-30.2,KiDSDR4 J024228.926-294305.41,40.620528,-29.718171,19.4218,Li+20
