z_re,z_im,w_re,w_im
-3.0,2.593220338983051,3.7841905638912614,2.9858231860317144
-3.0,2.694915254237289,3.7877708207519287,2.96592035580797
-3.0,2.796610169491526,3.7916308787059094,2.9461614056937333
-3.0,2.898305084745763,3.795755361336004,2.926556319040967
-3.0,3.0,3.8001295405983164,2.9071127956296117
-2.8983050847457625,-3.0,1.4094373161010982,-4.683067909501222
-2.8983050847457625,-2.8983050847457625,1.3957481296245797,-4.706879334442296
-2.8983050847457625,-2.7966101694915255,1.3825063147451655,-4.7311348838562175
-2.8983050847457625,-2.694915254237288,1.369741113033316,-4.755825138432751
-2.8983050847457625,-2.593220338983051,1.3574827436405736,-4.7809389865931085
-2.8983050847457625,-2.4915254237288136,1.345762503224015,-4.806463453534274
-2.8983050847457625,-2.389830508474576,1.3346128863800248,-4.832383474681422
-2.8983050847457625,-2.288135593220339,1.3240677210082326,-4.858681594668904
-2.8983050847457625,-2.1864406779661016,1.3141623074672704,-4.88533756954045
-2.8983050847457625,-2.084745762711864,1.304933542566749,-4.912327846812097
-2.8983050847457625,-1.9830508474576272,1.2964199987770124,-4.939624896044144
-2.8983050847457625,-1.8813559322033897,1.2886619149133343,-4.967196362686154
-2.8983050847457625,-1.7796610169491525,1.2817010364328065,-4.995004021828786
-2.8983050847457625,-1.6779661016949152,1.2755802211594074,-5.023002518543726
-2.8983050847457625,-1.5762711864406778,1.2703427002748624,-5.051137901151157
-2.8983050847457625,-1.4745762711864405,-2.851103875236266,-1.023403935137722
-2.8983050847457625,-1.3728813559322033,-2.8544503723970998,-1.0516086061110568
-2.8983050847457625,-1.271186440677966,-2.8567972538355346,-1.0797201974682138
-2.8983050847457625,-1.1694915254237288,-2.858119312879589,-1.1076342714376213
-2.8983050847457625,-1.0677966101694913,-2.8584051413120743,-1.1352311787148393
-2.8983050847457625,-0.9661016949152543,-2.8576628873495755,-1.1623769632597545
-2.8983050847457625,-0.8644067796610169,-2.855926735227057,-1.188926268404967
-2.8983050847457625,-0.7627118644067794,-2.8532634381623145,-1.214727905046784
-2.8983050847457625,-0.6610169491525424,-2.8497777882218513,-1.2396335425373484
-2.8983050847457625,-0.5593220338983049,-2.845615492542067,-1.263509486264803
-2.8983050847457625,-0.45762711864406747,-2.840961751778227,-1.2862506880923872
-2.8983050847457625,-0.35593220338983045,-2.8360341545587517,-1.3077951288646101
-2.8983050847457625,-0.254237288135593,-2.831069473962766,-1.3281358546302258
-2.8983050847457625,-0.15254237288135553,-4.480849108975822,-2.0584058575604303
-2.8983050847457625,-0.05084745762711851,-4.476504061738834,-2.076564683965539
-2.8983050847457625,0.05084745762711895,-4.472757690456904,-2.0938584412409895
-2.8983050847457625,0.15254237288135597,-4.469737067001969,-2.1104916842175565
-2.8983050847457625,0.25423728813559343,-4.467509737734854,-2.12668645393021
-2.8983050847457625,0.3559322033898309,-4.4660844445166745,-2.1426631385248824
-2.8983050847457625,0.4576271186440679,-4.465418116020217,-2.1586242903862027
-2.8983050847457625,0.5593220338983054,-4.465426837732458,-2.1747431335514484
-2.8983050847457625,0.6610169491525424,-4.465998384178608,-2.1911571628439486
-2.8983050847457625,0.7627118644067798,-4.467004368452715,-2.207966247554945
-2.8983050847457625,0.8644067796610173,-4.468310774181877,-2.225234149817014
-2.8983050847457625,0.9661016949152543,-4.469786302525398,-2.2429922753682794
-2.8983050847457625,1.0677966101694913,-5.157241117646926,3.101642385710422
-2.8983050847457625,1.1694915254237293,0.32253379894374756,4.890776230719219
-2.8983050847457625,1.2711864406779663,0.3212323039719003,4.871606175575377
-2.8983050847457625,1.3728813559322033,0.3201668966655067,4.852041225124175
-2.8983050847457625,1.4745762711864412,0.3194000739483527,4.832135533008081
-2.8983050847457625,1.5762711864406782,0.31897915889275885,4.811947194435921
-2.8983050847457625,1.6779661016949152,0.31893760767416945,4.791535292042859
