z_re,z_im,w_re,w_im
-2.7966101694915255,1.0677966101694913,1.4339197020469738,6.20754727091408
-2.7966101694915255,1.1694915254237293,1.4201992355160453,6.18293700525207
-2.7966101694915255,1.2711864406779663,1.4066503831495432,6.159540534500977
-2.7966101694915255,1.3728813559322033,1.3932832538464128,6.137344272838109
-2.7966101694915255,1.4745762711864412,1.3801068068215403,6.11633118299574
-2.7966101694915255,1.5762711864406782,1.367128870907508,6.096481132325982
-2.7966101694915255,1.6779661016949152,1.354356174685148,6.077771251800303
-2.7966101694915255,1.7796610169491531,1.34179438579553,6.060176291784028
-2.7966101694915255,1.8813559322033901,1.3294481577881712,6.043668969272403
-2.7966101694915255,1.9830508474576272,1.3173211829100218,6.028220302153137
-2.7966101694915255,2.084745762711865,1.305416249327486,6.013799926933693
-2.7966101694915255,2.186440677966102,1.2937353013898507,6.0003763972091795
-2.7966101694915255,2.288135593220339,1.2822795016780635,5.987917460925896
-2.7966101694915255,2.389830508474577,1.2710492937296682,5.976390315199858
-2.7966101694915255,2.491525423728814,1.2600444644819857,5.96576183806943
-2.7966101694915255,2.593220338983051,1.2492642056255527,5.955998797092002
-2.7966101694915255,2.694915254237289,1.2387071732039154,5.947068035136438
-2.7966101694915255,2.796610169491526,1.2283715449307824,5.938936634079405
-2.7966101694915255,2.898305084745763,1.2182550748190222,5.931572057390433
-2.7966101694915255,3.0,1.2083551448266334,5.924942272795357
-2.694915254237288,-3.0,-1.5444193871924567,-1.762936976705583
-2.694915254237288,-2.8983050847457625,-1.5531148179047394,-1.8071872380380418
-2.694915254237288,-2.7966101694915255,-1.5620783835469356,-1.8519086467522903
-2.694915254237288,-2.694915254237288,-1.5713148582329177,-1.8970805408600382
-2.694915254237288,-2.593220338983051,-1.5808285440763394,-1.9426792715590215
-2.694915254237288,-2.4915254237288136,-1.5906231951608993,-1.9886780433651776
-2.694915254237288,-2.389830508474576,-1.6007019375483345,-2.0350467674016306
-2.694915254237288,-2.288135593220339,-1.6110671860287225,-2.081751932323555
-2.694915254237288,-2.1864406779661016,-1.62172055852316,-2.128756497756556
-2.694915254237288,-2.084745762711864,-1.6326627892678118,-2.1760198154503847
-2.694915254237288,-1.9830508474576272,-1.6438936421345227,-2.2234975835685047
-2.694915254237288,-1.8813559322033897,-1.6554118256686015,-2.2711418396137457
-2.694915254237288,-1.7796610169491525,-1.6672149116387756,-2.3189009973966703
-2.694915254237288,-1.6779661016949152,-1.6792992590858864,-2.3667199331535924
-2.694915254237288,-1.5762711864406778,-1.69165994601199,-2.4145401253862784
-2.694915254237288,-1.4745762711864405,-1.704290710955783,-2.462299852203646
-2.694915254237288,-1.3728813559322033,-1.7171839067391765,-2.5099344488856725
-2.694915254237288,-1.271186440677966,-1.730330468629508,-2.5573766270635874
-2.694915254237288,-1.1694915254237288,-1.7437198990310376,-2.6045568553372505
-2.694915254237288,-1.0677966101694913,-1.757340270589538,-2.651403799367781
-2.694915254237288,-0.9661016949152543,-1.7711782492618102,-2.6978448175483574
-2.694915254237288,-0.8644067796610169,-1.7852191384701221,-2.7438065063444297
-2.694915254237288,-0.7627118644067794,-1.7994469449389952,-2.7892152873985543
-2.694915254237288,-0.6610169491525424,-1.8138444662146913,-2.833998026618172
-2.694915254237288,-0.5593220338983049,-1.8283933992189052,-2.8780826738156176
-2.694915254237288,-0.45762711864406747,-1.8430744685164364,-2.9213989101541493
-2.694915254237288,-0.35593220338983045,-1.857867572314702,-2.963878789766107
-2.694915254237288,-0.254237288135593,-1.8727519435959366,-3.0054573615234763
-2.694915254237288,-0.15254237288135553,1.608940619309956,6.559918956186825
-2.694915254237288,-0.05084745762711851,1.5939378009470677,6.52032298107137
-2.694915254237288,0.05084745762711895,1.5789082379316213,6.4817995641503146
-2.694915254237288,0.15254237288135597,1.5638735620256992,6.444396322896935
-2.694915254237288,0.25423728813559343,1.5488551593904298,6.4081555176368665
-2.694915254237288,0.3559322033898309,1.5338739944930229,6.373113797021741
-2.694915254237288,0.4576271186440679,1.518950444707273,6.339302028852487
-2.694915254237288,0.5593220338983054,1.504104148649807,6.306745216644259
-2.694915254237288,0.6610169491525424,1.4893538707566658,6.27546249984216
-2.694915254237288,0.7627118644067798,1.4747173840037615,6.245467233338294
-2.694915254237288,0.8644067796610173,1.4602113720436187,6.216767139999021
-2.694915254237288,0.9661016949152543,1.4458513514020004,6.1893645283522165
-2.694915254237288,1.0677966101694913,1.4316516137805289,6.163256566445762
-2.694915254237288,1.1694915254237293,1.4176251879695907,6.138435602179346
-2.694915254237288,1.2711864406779663,1.4037838204076643,6.114889520116295
-2.694915254237288,1.3728813559322033,1.3901379730407692,6.092602124863539
-2.694915254237288,1.4745762711864412,1.3766968368443546,6.071553541514046
-2.694915254237288,1.5762711864406782,1.3634683591696621,6.051720624315116
-2.694915254237288,1.6779661016949152,1.350459282962483,6.033077365592089
-2.694915254237288,1.7796610169491531,1.3376751958659208,6.015595297955011
