z_re,z_im,w_re,w_im
-3.0,1.7796610169491531,0.030665277661773738,2.5236414935004445
-3.0,1.8813559322033901,0.045642599345282475,2.513422093426992
-3.0,1.9830508474576272,0.06066369753139278,2.5035977949814487
-3.0,2.084745762711865,0.07571266562938472,2.494161925467126
-3.0,2.186440677966102,0.09077448314948189,2.4851071422989444
-3.0,2.288135593220339,0.10583502537746181,2.4764255268498214
-3.0,2.389830508474577,0.1208810641728042,2.468108673901427
-3.0,2.491525423728814,0.13590026095443197,2.4601477760745136
-3.0,2.593220338983051,0.15088115292635074,2.4525337027909444
-3.0,2.694915254237289,0.16581313356138483,2.445257073478323
-3.0,2.796610169491526,0.18068642830975645,2.438308324867518
-3.0,2.898305084745763,0.1954920664350579,2.4316777723528844
-3.0,3.0,0.21022184980740133,2.4253556654851405
-2.8983050847457625,-3.0,2.1345090846929224,-1.1965397950640413
-2.8983050847457625,-2.8983050847457625,2.1329225432773438,-1.2137254485015305
-2.8983050847457625,-2.7966101694915255,2.131624656978978,-1.2311395818737596
-2.8983050847457625,-2.694915254237288,2.130630393724614,-1.2487768692134515
-2.8983050847457625,-2.593220338983051,2.12995492706464,-1.2666309649240814
-2.8983050847457625,-2.4915254237288136,2.1296135672009853,-1.2846944431776604
-2.8983050847457625,-2.389830508474576,2.1296216823858156,-1.3029587407989203
-2.8983050847457625,-2.288135593220339,2.129994610504072,-1.3214141050085606
-2.8983050847457625,-2.1864406779661016,2.130747560835485,-1.340049547522534
-2.8983050847457625,-2.084745762711864,2.131895506209367,-1.358852806608112
-2.8983050847457625,-1.9830508474576272,2.1334530660172057,-1.3778103187721604
-2.8983050847457625,-1.8813559322033897,2.135434380831133,-1.3969072017937152
-2.8983050847457625,-1.7796610169491525,2.137852979685574,-1.4161272508023632
-2.8983050847457625,-1.6779661016949152,2.140721641407268,-1.4354529490373167
-2.8983050847457625,-1.5762711864406778,2.144052251715232,-1.45486549479162
-2.8983050847457625,-1.4745762711864405,2.147855658144468,-1.4743448458456863
-2.8983050847457625,-1.3728813559322033,2.1521415251602454,-1.4938697824207678
-2.8983050847457625,-1.271186440677966,2.156918192106939,-1.513417989336022
-2.8983050847457625,-1.1694915254237288,2.1621925368588757,-1.532966157636314
-2.8983050847457625,-1.0677966101694913,2.1679698481926435,-1.5524901054802906
-2.8983050847457625,-0.9661016949152543,2.1742537099644026,-1.5719649175526977
-2.8983050847457625,-0.8644067796610169,2.1810459001377973,-1.591365101709201
-2.8983050847457625,-0.7627118644067794,2.188346307558241,-1.6106647609980556
-2.8983050847457625,-0.6610169491525424,2.196152869102658,-1.629837778655911
-2.8983050847457625,-0.5593220338983049,2.2044615294517627,-1.648858013171722
-2.8983050847457625,-0.45762711864406747,2.213266225242787,-1.6676995000801251
-2.8983050847457625,-0.35593220338983045,2.222558894779432,-1.6863366568089009
-2.8983050847457625,-0.254237288135593,2.232329513824376,-1.7047444866856358
-2.8983050847457625,-0.15254237288135553,-0.23763364328069547,2.783375585022431
-2.8983050847457625,-0.05084745762711851,-0.22694471453078424,2.7654980680928727
-2.8983050847457625,0.05084745762711895,-0.2158189435566802,2.7479194082552434
-2.8983050847457625,0.15254237288135597,-0.2042733457950512,2.7306603725204397
-2.8983050847457625,0.25423728813559343,-0.19232635906611184,2.7137402690431505
-2.8983050847457625,0.3559322033898309,-0.17999767824619206,2.6971768250371166
-2.8983050847457625,0.4576271186440679,-0.1673080781454781,2.6809860876529563
-2.8983050847457625,0.5593220338983054,-0.15427922830504626,2.6651823489199904
-2.8983050847457625,0.6610169491525424,-0.14093350347965217,2.649778095180621
-2.8983050847457625,0.7627118644067798,-0.12729379349308512,2.6347839807938636
-2.8983050847457625,0.8644067796610173,-0.11338331595322071,2.6202088252806903
-2.8983050847457625,0.9661016949152543,-0.09922543501170611,2.6060596325502714
-2.8983050847457625,1.0677966101694913,-0.08484348896984684,2.5923416303997757
-2.8983050847457625,1.1694915254237293,-0.07026062909135966,2.5790583281316595
-2.8983050847457625,1.2711864406779663,-0.05549967150812862,2.566211589885701
-2.8983050847457625,1.3728813559322033,-0.04058296361987512,2.5538017211371913
-2.8983050847457625,1.4745762711864412,-0.02553226591324509,2.541827565761519
-2.8983050847457625,1.5762711864406782,-0.010368649677537256,2.5302866110990387
-2.8983050847457625,1.6779661016949152,0.004887589313318452,2.5191750985599253
-2.8983050847457625,1.7796610169491531,0.020217001440277826,2.5084881374727734
-2.8983050847457625,1.8813559322033901,0.03560103878920606,2.4982198200883667
-2.8983050847457625,1.9830508474576272,0.05102209644334832,2.4883633358872825
-2.8983050847457625,2.084745762711865,0.06646354053534553,2.4789110835937724
-2.8983050847457625,2.186440677966102,0.08190972420634646,2.469854779557267
-2.8983050847457625,2.288135593220339,0.09734599270027866,2.46118556141729
-2.8983050847457625,2.389830508474577,0.11275867885781832,2.4528940862099624
-2.8983050847457625,2.491525423728814,0.12813509027364423,2.444970622298939
-2.8983050847457625,2.593220338983051,0.1434634893489285,2.4374051347166774
-2.8983050847457625,2.694915254237289,0.15873306741524507,2.43018736368116
-2.8983050847457625,2.796610169491526,0.17393391403241187,2.4233068962076088
-2.8983050847457625,2.898305084745763,0.18905698247664826,2.416753230864546
-2.8983050847457625,3.0,0.2040940523417646,2.4105158358297896
-2.7966101694915255,-3.0,2.1173016037900565,-1.194694926375432
-2.7966101694915255,-2.8983050847457625,2.11547673399191,-1.2121639652433482
-2.7966101694915255,-2.7966101694915255,2.1139452122721343,-1.2298768161816502
-2.7966101694915255,-2.694915254237288,2.1127230251174076,-1.2478284232345067
-2.7966101694915255,-2.593220338983051,2.111826431410545,-1.266012645511942
-2.7966101694915255,-2.4915254237288136,2.111271890807304,-1.2844221864639842
-2.7966101694915255,-2.389830508474576,2.111075981102906,-1.303048526299738
-2.7966101694915255,-2.288135593220339,2.1112553042508266,-1.3218818590953885
-2.7966101694915255,-2.1864406779661016,2.111826380895106,-1.3409110362984555
-2.7966101694915255,-2.084745762711864,2.1128055335200893,-1.3601235184788025
