# re(psi) im(psi) re(|psi|^2) im(|psi|^2)
-0.17192910027940927 -0.9851093261547739 0.9999999999999999 0.0
-0.12533323356430393 -0.992114701314478 1.0000000000000002 0.0
-0.07845909572784482 -0.9969173337331281 1.0000000000000002 0.0
-0.03141075907812785 -0.9995065603657317 1.0000000000000002 0.0
0.0157073173118209 -0.9998766324816606 1.0 0.0
0.06279051952931403 -0.9980267284282716 1.0 0.0
0.10973431109104559 -0.9939609554551797 1.0 0.0
0.1564344650402309 -0.9876883405951378 1.0 0.0
0.2027872953565129 -0.9792228106217657 1.0000000000000002 0.0
0.2486898871648549 -0.9685831611286311 1.0 0.0
0.2940403252323039 -0.9557930147983302 1.0000000000000002 0.0
0.3387379202452917 -0.9408807689542252 0.9999999999999998 0.0
0.38268343236508984 -0.9238795325112867 1.0 0.0
0.42577929156507244 -0.9048270524660196 1.0 0.0
0.46792981426057356 -0.8837656300886934 1.0 0.0
0.5090414157503712 -0.8607420270039436 0.9999999999999999 0.0
0.549022817998132 -0.8358073613682702 1.0 0.0
0.5877852522924731 -0.8090169943749475 1.0 0.0
0.625242656335705 -0.7804304073383299 1.0 0.0
0.6613118653236515 -0.7501110696304598 1.0 0.0
0.6959127965923148 -0.7181262977631885 1.0 0.0
0.7289686274214118 -0.6845471059286885 1.0000000000000002 0.0
0.7604059656000309 -0.6494480483301837 1.0 0.0
0.7901550123756902 -0.6129070536529767 1.0 0.0
0.8181497174250232 -0.5750052520432789 1.0 0.0
0.8443279255020151 -0.5358267949789967 1.0 0.0
0.8686315144381914 -0.4954586684324073 1.0000000000000002 0.0
0.8910065241883679 -0.45399049973954675 1.0 0.0
0.9114032766354452 -0.411514358605109 1.0 0.0
0.9297764858882512 -0.3681245526846785 1.0 0.0
0.9460853588275454 -0.3239174181981495 1.0000000000000002 0.0
0.9602936856769431 -0.278991106039229 0.9999999999999999 0.0
0.9723699203976767 -0.23344536385590542 1.0 0.0
0.9822872507286886 -0.18738131458572488 1.0 0.0
0.9900236577165576 -0.14090123193758253 1.0 0.0
0.99556196460308 -0.09410831331851444 1.0 0.0
0.99888987496197 -0.047106450709642395 1.0 0.0
1.0 0.0 1.0 0.0
0.99888987496197 0.047106450709642395 1.0 0.0
0.99556196460308 0.09410831331851444 1.0 0.0
0.9900236577165576 0.14090123193758253 1.0 0.0
0.9822872507286886 0.18738131458572488 1.0 0.0
0.9723699203976767 0.23344536385590542 1.0 0.0
0.960293685676943 0.2789911060392296 1.0 0.0
0.9460853588275454 0.3239174181981495 1.0000000000000002 0.0
0.9297764858882516 0.3681245526846778 1.0000000000000002 0.0
0.9114032766354454 0.41151435860510843 1.0 0.0
0.8910065241883679 0.45399049973954675 1.0 0.0
0.868631514438191 0.4954586684324079 0.9999999999999999 0.0
0.8443279255020151 0.5358267949789967 1.0 0.0
0.8181497174250234 0.5750052520432785 0.9999999999999999 0.0
0.7901550123756906 0.6129070536529762 1.0 0.0
0.7604059656000306 0.6494480483301842 1.0000000000000002 0.0
0.7289686274214113 0.684547105928689 1.0 0.0
0.6959127965923143 0.7181262977631888 1.0 0.0
0.661311865323652 0.7501110696304596 1.0000000000000004 0.0
0.6252426563357054 0.7804304073383295 0.9999999999999998 0.0
0.5877852522924736 0.809016994374947 0.9999999999999999 0.0
0.5490228179981314 0.8358073613682705 1.0 0.0
0.5090414157503712 0.8607420270039436 0.9999999999999999 0.0
0.46792981426057356 0.8837656300886934 1.0 0.0
0.4257792915650731 0.9048270524660194 1.0 0.0
0.3826834323650904 0.9238795325112865 1.0 0.0
0.3387379202452911 0.9408807689542256 0.9999999999999999 0.0
0.2940403252323039 0.9557930147983302 1.0000000000000002 0.0
0.2486898871648543 0.9685831611286313 1.0000000000000002 0.0
0.20278729535651235 0.9792228106217657 0.9999999999999999 0.0
0.1564344650402309 0.9876883405951378 1.0 0.0
0.10973431109104559 0.9939609554551797 1.0 0.0
0.0627905195293127 0.9980267284282716 0.9999999999999999 0.0
0.015707317311820235 0.9998766324816606 1.0 0.0
-0.03141075907812846 0.9995065603657316 1.0000000000000002 0.0
-0.07845909572784482 0.9969173337331281 1.0000000000000002 0.0
-0.12533323356430526 0.9921147013144777 0.9999999999999999 0.0
-0.17192910027941016 0.9851093261547739 1.0000000000000002 0.0
-0.21814324139654295 0.9759167619387472 0.9999999999999999 0.0
-0.26387304996537303 0.9645574184577981 1.0 0.0
-0.3090169943749474 0.9510565162951536 1.0 0.0
-0.3534748437792567 0.9354440308298673 0.9999999999999996 0.0
