# re(psi_t) im(psi_t) re(psi_t+dt) im(psi_t+dt)
-0.38931608407176954 0.9211042214011522 -0.31920357607032573 0.9476861701132478
-0.3545090650481311 0.9350525775584494 -0.28344925966433154 0.9589872351578734
-0.3192035760703249 0.9476861701132482 -0.24729638944574522 0.9689398824318763
-0.28344925966433154 0.9589872351578734 -0.2107957994307797 0.977530117665097
-0.24729638944574522 0.9689398824318763 -0.17399881255931365 0.9847458622547997
-0.2107957994307797 0.977530117665097 -0.13695716853046275 0.9905769702492171
-0.1739988125593128 0.9847458622547998 -0.09972295105215206 0.9950152426136245
-0.13695716853046186 0.9905769702492173 -0.06234851460699166 0.9980544387588794
-0.09972295105215206 0.9950152426136245 -0.02488641083740215 0.9996902853162234
-0.06234851460699166 0.9980544387588794 0.01261068534646556 0.9999204821460017
-0.02488641083740215 0.9996902853162234 0.050090049832144296 0.998744705571856
0.012610685346466447 0.9999204821460017 0.08749898343944727 0.9961646088358406
0.050090049832145184 0.9987447055718559 0.12478488601999901 0.9921838197738239
0.08749898343944727 0.9961646088358406 0.16189533041753676 0.9868079357144411
0.12478488601999901 0.9921838197738239 0.1987781361849526 0.980044515608774
0.16189533041753676 0.9868079357144411 0.23538144295445032 0.971903069401821
0.19877813618495346 0.9800445156087738 0.27165378335764334 0.962395044660704
0.23538144295445118 0.9719030694018208 0.3075441553930535 0.9515338104784156
0.27165378335764334 0.962395044660704 0.3430020941392817 0.9393346386757316
0.3075441553930535 0.9515338104784156 0.37797774271298024 0.9258146823277325
0.3430020941392817 0.9393346386757316 0.4124219223718815 0.9109929516451166
0.37797774271298107 0.9258146823277321 0.44628620166430166 0.8948902872442243
0.41242192237188235 0.9109929516451162 0.4795229645278822 0.8775293308433579
0.44628620166430166 0.8948902872442243 0.5120854772418407 0.858934493426592
0.4795229645278822 0.8775293308433579 0.5439279541385584 0.8391319209198529
0.5120854772418407 0.858934493426592 0.575005621982132 0.8181494574275177
0.5439279541385592 0.8391319209198524 0.6052747829233595 0.7960166060812299
0.5750056219821328 0.8181494574275171 0.6346928759426347 0.7727644875559871
0.6052747829233595 0.7960166060812299 0.6632185366943757 0.7484257963118128
0.6346928759426347 0.7727644875559871 0.6908116556688141 0.7230347546225644
0.6632185366943757 0.7484257963118128 0.7174334345893848 0.6966270644564987
0.6908116556688148 0.7230347546225637 0.7430464409664105 0.6692398572762613
0.7174334345893855 0.6966270644564981 0.7676146607303663 0.6409116418288909
0.7430464409664105 0.6692398572762613 0.7911035488707386 0.6116822499992318
0.7676146607303663 0.6409116418288909 0.8134800780092482 0.581592780802915
0.7911035488707386 0.6116822499992318 0.8347127848391593 0.5506855425976384
0.8134800780092487 0.5815927808029143 0.8547718143653716 0.5190039935940095
0.8347127848391598 0.5506855425976376 0.8736289618830834 0.486592680749604
0.8547718143653716 0.5190039935940095 0.8912577126360152 0.45349717713213844
0.8736289618830834 0.486592680749604 0.9076332790984132 0.41976401783985967
0.8912577126360152 0.45349717713213844 0.9227326358284232 0.38544063456922967
0.9076332790984135 0.4197640178398589 0.9365345518438252 0.35057528892191686
0.9227326358284236 0.38544063456922883 0.9490196204746001 0.3152170045448786
0.9365345518438252 0.35057528892191686 0.960170286650366 0.27941549819892586
0.9490196204746001 0.3152170045448786 0.9699708715843006 0.24322110985272685
0.960170286650366 0.27941549819892586 0.9784075948188508 0.2066847319005242
0.9699708715843006 0.24322110985272685 0.9854685936022328 0.16985773760308148
0.9784075948188508 0.2066847319005242 0.9911439395684689 0.1327919088525176
0.9854685936022328 0.16985773760308148 0.9954256526975189 0.0955393633625346
0.991143939568469 0.13279190885251674 0.9983077125358665 0.05815248138648695
0.9954256526975189 0.0955393633625346 0.9997860666617905 0.020683832066275748
0.9983077125358665 0.05815248138648695 0.9998586363834151 -0.0168139004843506
0.9997860666617905 0.020683832066275748 0.998525319661528 -0.05428799125813371
0.9998586363834151 -0.0168139004843506 0.9957879912530557 -0.09168574849017776
0.998525319661528 -0.05428799125813459 0.991650500074996 -0.12895458774704502
0.9957879912530557 -0.09168574849017776 0.9861186637925127 -0.16604210586495635
0.991650500074996 -0.12895458774704502 0.9792002606388015 -0.20289615463311098
0.9861186637925127 -0.16604210586495635 0.9709050184782341 -0.23946491411849882
0.9792002606388015 -0.20289615463311098 0.961244601128148 -0.27569696552916134
