# re(psi) im(psi) re(|psi|^2) im(|psi|^2)
0.35458754856089875 0.7221060291217702 0.6471694468884386 0.0
0.33447270571756377 0.7000634382707177 0.601960808473447 0.0
0.3149945316967631 0.677113698974365 0.5577045163376101 0.0
0.29617641665026656 0.6534164602397199 0.5146735402919977 0.0
0.27803730045319386 0.629126593834416 0.4731050115129939 0.0
0.2605918210126893 0.6043932795322216 0.43319933352242357 0.0
0.24385048692652475 0.5793591985486609 0.39512014091724995 0.0
0.22781987139800913 0.5541598372837533 0.35899501906216136 0.0
0.21250282427502212 0.5289229019928882 0.32491688657743933 0.0
0.19789869908361474 0.503767843596072 0.2929459353404235 0.0
0.1840035919677199 0.4788054905264508 0.26311201961529834 0.0
0.1708105895230649 0.45413778632486873 0.2354173864612691 0.0
0.15831002262193877 0.42985762761895163 0.20983964328475208 0.0
0.1464897234623658 0.40604879719077336 0.1863348647801542 0.0
0.1353352832366127 0.38278598604164377 0.16484074999860768 0.0
0.12483030799583289 0.36013489770835166 0.1452797503417394 0.0
0.11495667048603503 0.33815242757213976 0.12756210036216606 0.0
0.10569475594148853 0.3168869095272348 0.11158869486325272 0.0
0.09702370004128698 0.2963784221352153 0.0972537674770615 0.0
0.0889216174593863 0.2766591462782759 0.08444733727101791 0.0
0.08136581966452526 0.2577537663303122 0.07305740066714124 0.0
0.0743330208507896 0.23967990698011513 0.06297185579880056 0.0
0.06779953109924777 0.22244859805517495 0.054080155193990655 0.0
0.061741436083429045 0.2060647599962016 0.046274690241936325 0.0
0.05613476283413368 0.19052770300950964 0.03945191721252435 0.0
0.05095563127019418 0.17583163336468255 0.033513239649836137 0.0
0.04618039137973471 0.16196616079619766 0.028365665791045235 0.0
0.04178574609992924 0.1489168014979645 0.02392226234551191 0.0
0.03774886009129893 0.13666547175741295 0.020102427608868694 0.0
0.0340474547345993 0.12519096784988143 0.016832007605094637 0.0
0.030659889794007474 0.11446942839433154 0.014043278879105678 0.0
0.027565232289593376 0.10447477594847267 0.011674820840662804 0.0
0.024743313205154313 0.0951791351867467 0.009671299323265367 0.0
0.022174772724855216 0.08655322555088622 0.007983181398661566 0.0
0.019841094744370298 0.07856672678349043 0.006566399598126711 0.0
0.017724631440177767 0.07118861624496965 0.005381981642563696 0.0
0.015808618705241848 0.06438747736897349 0.0043956596673077955 0.0
0.014077183271574843 0.05813177902780457 0.003577470821799006 0.0
0.01251534234122367 0.05239012595503425 0.0029013590915023795 0.0
0.011108996538242306 0.0471314807062141 0.0023447862776469113 0.0
0.009844916976392443 0.042325357929692005 0.001888358314148602 0.0
0.008710727211861743 0.03794199196833355 0.001515471523084556 0.0
0.007694880818387471 0.033952479020329406 0.0012119820224350958 0.0
0.006786635284974866 0.030328895254736355 0.0009659003058640353 0.0
0.0059760228950059375 0.027044392406942477 0.000767112010302323 0.0
0.005253819200985383 0.024073272473258647 0.0006071250637683952 0.0
0.004611509662433039 0.021391043185017798 0.0004788427499100097 0.0
0.004041254966394715 0.018974455973843674 0.00037636172120674187 0.0
0.0035358555015075725 0.016801528144207066 0.0002947936221081235 0.0
0.003088715408236766 0.014851550950173233 0.0002301087284986707 0.0
0.0026938065804214878 0.013105085233520337 0.0001789998528705549 0.0
0.002345632947166854 0.011543946223289235 0.00013876468832902847 0.0
0.002039195319842277 0.010151179025323389 0.00010720475315663215 0.0
0.0017699570468628102 0.008911026247348738 8.253913672867744e-05 0.0
0.0015338106793244604 0.007808889113328033 6.333132438426284e-05 0.0
0.0013270458136505716 0.006831283322700482 4.842748242653325e-05 0.0
0.0011463182433300576 0.005965790807968095 3.690470547942792e-05 0.0
0.0009886205206735478 0.005201008439962002 2.802785932645281e-05 0.0
0.0008512540013104993 0.004526494625828049 2.1213786972397346e-05 0.0
0.0007318024188804728 0.003932714641881165 1.6001779234745812e-05 0.0
0.0006281070149764975 0.003410985443333543 1.2029340116896013e-05 0.0
0.0005382432297832624 0.002953420596610153 9.01239899488859e-06 0.0
0.00046049894189605014 0.0025528758884243875 6.7292345771859875e-06 0.0
0.0003933542313630609 0.002202896079689521 5.007478689242684e-06 0.0
