# re(alpha) im(alpha) re(|alpha|^2) im(|alpha|^2)
-1.0372688352315502 -1.9809273998451795 5.0 0.0
-1.134977625116879 -1.9266099217236605 5.0 0.0
-1.22984956202434 -1.8674769221568814 5.0 0.0
-1.32164751552001 -1.8036762028478908 5.000000000000001 0.0
-1.4101420385275973 -1.7353672323681901 5.0 0.0
-1.495111940826646 -1.6627207475693506 5.0 0.0
-1.5763448419128716 -1.585918326829816 5.0 0.0
-1.653637701838842 -1.5051519362035028 5.0 0.0
-1.7267973287080822 -1.420623449604656 5.000000000000001 0.0
-1.7956408615542137 -1.3325441442281907 5.0 0.0
-1.8599962273981452 -1.2411341724667269 5.0 0.0
-1.919702571340889 -1.1466220116442816 5.0 0.0
-1.974610658617055 -1.049243892941922 5.0 0.0
-2.02458324760403 -0.9492432109428638 4.999999999999999 0.0
-2.0694954328545663 -0.8468699152727599 5.000000000000001 0.0
-2.109234957295354 -0.7423798858557963 4.999999999999999 0.0
-2.1437024928112347 -0.6360342933481639 5.0 0.0
-2.1728118885137624 -0.5280989463474215 4.999999999999999 0.0
-2.1964903860735636 -0.41884362700942135 5.0 0.0
-2.21467880157826 -0.30854141673344593 4.999999999999999 0.0
-2.227331673461435 -0.19746801360089639 5.0 0.0
-2.234417376132868 -0.08590104327369819 5.0 0.0
-2.235918199026043 0.02588063492528192 5.0 0.0
-2.2318303908653414 0.13759762501532669 5.000000000000001 0.0
