# re(psi_t) im(psi_t) re(psi_t+dt) im(psi_t+dt)
-0.11677210325677205 0.3243479146740416 -0.0829740654036215 0.33105809496807737
-0.09991470466319811 0.3281339586416576 -0.06599356673123126 0.3331215546735951
-0.0829740654036215 0.33105809496807737 -0.04901625837093295 0.3343277184532423
-0.06599356673123126 0.3331215546735951 -0.03208475368200192 0.33468208679523787
-0.04901625837093234 0.33432771845324233 -0.015241126959996716 0.3341922450720814
-0.03208475368200192 0.33468208679523787 0.0014731868854028752 0.3328678237419991
-0.015241126959996716 0.3341922450720814 0.018017490048269493 0.33072045380936427
0.0014731868854028752 0.3328678237419991 0.03435191672046456 0.327763717703147
0.018017490048269493 0.33072045380936427 0.05043752495158643 0.32401309574236814
0.03435191672046514 0.32776371770314694 0.06623638527426054 0.31948590836694585
0.05043752495158643 0.32401309574236814 0.08171166590435472 0.31420125432117463
0.06623638527426054 0.31948590836694585 0.09682771433618018 0.30817994498538687
0.08171166590435472 0.31420125432117463 0.11155013516358554 0.3014444350590768
0.09682771433618018 0.30817994498538687 0.1258458639690324 0.29401874980590137
0.11155013516358606 0.3014444350590766 0.13968323713415956 0.2859284090775268
0.1258458639690324 0.29401874980590137 0.15303205743707446 0.2772003483392105
0.13968323713415956 0.2859284090775268 0.16586365531351663 0.26786283692532753
0.15303205743707446 0.2772003483392105 0.17815094567115178 0.25794539375774067
0.16586365531351663 0.26786283692532753 0.1898684801585449 0.24747870076395867
0.1781509456711522 0.2579453937577403 0.20099249480273107 0.23649451423546197
0.1898684801585449 0.24747870076395867 0.21150095294181825 0.2250255743693423
0.20099249480273107 0.23649451423546197 0.22137358339159088 0.21310551323855673
0.21150095294181825 0.2250255743693423 0.23059191379766256 0.2007687614376047
0.22137358339159088 0.21310551323855673 0.23913929913731535 0.18805045365129236
0.23059191379766286 0.20076876143760425 0.24700094534768235 0.17498633339451422
0.23913929913731535 0.18805045365129236 0.25416392806942484 0.1616126571705716
0.24700094534768235 0.17498633339451422 0.2606172065074205 0.14796609829456267
0.25416392806942484 0.1616126571705716 0.2663516324222286 0.13408365062676494
0.2606172065074205 0.14796609829456267 0.27135995427820514 0.12000253245870666
0.26635163242222876 0.13408365062676442 0.27563681658603095 0.10576009079184823
0.27135995427820514 0.12000253245870666 0.2791787544891276 0.0913937062453968
0.27563681658603095 0.10576009079184823 0.2819841836548807 0.07694069882586013
0.2791787544891276 0.0913937062453968 0.2840533855427793 0.062438234786466124
0.2819841836548807 0.07694069882586013 0.2853884881324807 0.04792323479955034
0.2840533855427793 0.06243823478646561 0.2859934422053797 0.033432283659522805
0.2853884881324807 0.04792323479955034 0.2858739932835065 0.019001541727988132
0.2859934422053797 0.033432283659522805 0.28503764933944925 0.004666658326129209
0.2858739932835065 0.019001541727988132 0.283493644400489 -0.009537312727467339
0.28503764933944925 0.004666658326129209 0.28125289817922244 -0.023575995242744563
0.2834936444004889 -0.00953731272746784 0.27832797187161423 -0.03741577026480712
0.28125289817922244 -0.023575995242744563 0.27473302027164215 -0.05102385298636888
0.27832797187161423 -0.03741577026480712 0.2704837403594695 -0.064368366799623
0.27473302027164215 -0.05102385298636888 0.26559731652737484 -0.07741841432998323
0.2704837403594695 -0.064368366799623 0.2600923626144781 -0.0901441453033102
0.26559731652737467 -0.0774184143299837 0.2539888609276219 -0.10251682110764103
0.2600923626144781 -0.0901441453033102 0.24730809843156573 -0.11450887592015245
0.2539888609276219 -0.10251682110764103 0.24007260029694263 -0.1260939742799849
0.24730809843156573 -0.11450887592015245 0.23230606099919257 -0.13724706499767123
0.24007260029694263 -0.1260939742799849 0.22403327316590596 -0.1479444313022177
0.2323060609991923 -0.13724706499767161 0.21528005437371603 -0.1581637371372967
0.22403327316590596 -0.1479444313022177 0.2060731720990143 -0.16788406952858748
0.21528005437371603 -0.1581637371372967 0.19644026702937648 -0.1770859769549318
0.2060731720990143 -0.16788406952858748 0.1864097749446464 -0.18575150366667903
0.19644026702937648 -0.1770859769549318 0.17601084737812878 -0.19386421990535277
0.18640977494464603 -0.1857515036666793 0.165273271269328 -0.20140924798950152
0.17601084737812878 -0.19386421990535277 0.15422738782008308 -0.20837328424235063
0.165273271269328 -0.20140924798950152 0.14290401076585174 -0.2147446167475454
0.15422738782008308 -0.20837328424235063 0.1313343442732617 -0.22051313892989532
0.14290401076585174 -0.2147446167475454 0.11954990067386916 -0.22567035896855286
0.1313343442732613 -0.22051313892989552 0.10758241824241008 -0.2302094050604441
0.11954990067386916 -0.22567035896855286 0.09546377922562371 -0.23412502656202505
0.10758241824241008 -0.2302094050604441 0.08322592832506116 -0.23741359104750612
0.09546377922562371 -0.23412502656202505 0.07090079183412838 -0.24007307733156324
0.08322592832506116 -0.23741359104750612 0.05852019762596159 -0.24210306451422026
0.07090079183412795 -0.24007307733156336 0.04611579618466416 -0.2435047171149968
0.05852019762596159 -0.24210306451422026 0.03371898286787271 -0.24428076637257803
0.04611579618466416 -0.2435047171149968 0.02136082158367289 -0.24443548779513175
0.03371898286787271 -0.24428076637257803 0.009071970059511101 -0.24397467505497097
0.02136082158367289 -0.24443548779513175 -0.0031173931250330794 -0.24290561032951016
0.009071970059510668 -0.243974675054971 -0.015177639575865959 -0.24123703119837533
-0.0031173931250330794 -0.24290561032951016 -0.027079760033162523 -0.23897909421408559
-0.015177639575865959 -0.24123703119837533 -0.038795431078901155 -0.23614333527091033
-0.027079760033162523 -0.23897909421408559 -0.05029707945788502 -0.2327426269033116
-0.038795431078901155 -0.23614333527091033 -0.0615579438744396 -0.22879113265178141
-0.05029707945788542 -0.23274262690331146 -0.07255213413466495 -0.22430425863988543
-0.0615579438744396 -0.22879113265178141 -0.08325468751210642 -0.21929860251189182
-0.07255213413466495 -0.22430425863988543 -0.09364162222288268 -0.213791899885512
-0.08325468751210642 -0.21929860251189182 -0.10368998790470545 -0.20780296847898505
-0.09364162222288268 -0.213791899885512 -0.11337791300281427 -0.2013516500759886
-0.10368998790470581 -0.20780296847898483 -0.12268464897456363 -0.1944587504956731
-0.11337791300281427 -0.2013516500759886 -0.1315906112332899 -0.18714597773845298
-0.12268464897456363 -0.1944587504956731 -0.14007741676105212 -0.17943587848107836
-0.1315906112332899 -0.18714597773845298 -0.14812791832891023 -0.171351773096933
-0.14007741676105212 -0.17943587848107836 -0.1557262352725463 -0.16291768937944714
-0.1481279183289105 -0.17135177309693272 -0.16285778078019025 -0.15415829514801777
-0.1557262352725463 -0.16291768937944714 -0.16950928565901519 -0.145098829916834
-0.16285778078019025 -0.15415829514801777 -0.17566881855534205 -0.13576503580757626
