# re(z) im(z) re(|z|^2) im(|z|^2)
2.2396624865721747e-11 -2.5395249735990693e-10 6.49934797207094e-20 0.0
1.6035220371024087e-11 -9.728235568669928e-11 9.720985020300779e-21 0.0
8.839318703634466e-12 -3.6315429062626906e-11 1.396943943147109e-21 0.0
4.291610671199167e-12 -1.3208219510715335e-11 1.928749847963918e-22 0.0
1.92101865159789e-12 -4.679274318812681e-12 2.558592081048685e-23 0.0
8.09704507668658e-13 -1.614126943883933e-12 3.261027180711029e-24 0.0
3.2508904846016577e-13 -5.418956094646159e-13 3.9933374098576355e-25 0.0
1.2519286193882135e-13 -1.76947155751504e-13 4.698354860897979e-26 0.0
4.6453701693450296e-14 -5.615287925525271e-14 5.311092249679057e-27 0.0
1.6659712709569684e-14 -1.7299912385887584e-14 5.7683299612478425e-28 0.0
5.787311331006029e-15 -5.1671878547400654e-15 6.019280276816402e-29 0.0
1.9505131361836846e-15 -1.4934387538649872e-15 6.034860805970919e-30 0.0
6.385698960940902e-16 -4.165961789207015e-16 5.8132388848894625e-31 0.0
2.0326133506566747e-16 -1.1174386456326396e-16 5.380186160021063e-32 0.0
6.294979090899401e-17 -2.866133947202576e-17 4.7841485558167666e-33 0.0
1.8978531177257316e-17 -6.967700599226038e-18 4.0873349728658285e-34 0.0
5.572365278234432e-18 -1.5810230131904464e-18 3.3550888562310496e-35 0.0
1.5938955478656457e-18 -3.2486115985389847e-19 2.646037790687547e-36 0.0
4.442424183981437e-19 -5.612086859563332e-20 2.005008781961597e-37 0.0
1.2066560335809908e-19 -6.070428182692891e-21 1.4597037932095322e-38 0.0
3.1943575866951135e-20 8.029987059347953e-22 1.021036846089396e-39 0.0
8.241852863138793e-21 8.313640297646323e-22 6.861930476761561e-41 0.0
2.072448828997997e-21 3.6841303396837285e-22 4.4307723124129505e-42 0.0
5.078170769256601e-22 1.3038526440401034e-22 2.748785007910255e-43 0.0
1.2123003390411214e-22 4.1081273710496073e-23 1.6384392170068875e-44 0.0
2.818845788144367e-23 1.1988522408918958e-23 9.383138272830756e-46 0.0
6.381558475203636e-24 3.302235550066566e-24 5.162904820056679e-47 0.0
1.4059209901678037e-24 8.676366904389936e-25 2.7294072571903475e-48 0.0
3.0122640417251206e-25 2.1885379318946125e-25 1.3863432936411706e-49 0.0
6.271303633784879e-26 5.32221688120391e-26 6.765524179769531e-51 0.0
1.2672924541167523e-26 1.251466417121808e-26 3.1721983574449558e-52 0.0
2.4820765856684557e-27 2.851279783988454e-27 1.4290500583704823e-53 0.0
4.702334911177094e-28 6.304072592488634e-28 6.185328486824126e-55 0.0
8.593648492350758e-29 1.3541423221144507e-28 2.5722093726423415e-56 0.0
1.5089917613336124e-29 2.828466262567007e-29 1.0277277534252491e-57 0.0
2.5307150123413783e-30 5.7487653960205586e-30 3.9452822052173435e-59 0.0
4.014781956049672e-31 1.1375237574026533e-30 1.4551450402016707e-60 0.0
5.923222630839181e-32 2.1922011001495822e-31 5.156591326841893e-62 0.0
7.851451710210452e-33 4.1158751243168323e-32 1.7556880978547766e-63 0.0
8.55275935864954e-34 7.530028934062396e-33 5.7432832674286544e-65 0.0
5.063827547792544e-35 1.3425855756897267e-33 1.805100262993493e-66 0.0
-8.799612819329362e-36 2.333063899072932e-34 5.450930475734403e-68 0.0
-4.488076209828317e-36 3.951396537786006e-35 1.5814962879479502e-69 0.0
-1.2441514420822661e-36 6.522070262101932e-36 4.408531331462975e-71 0.0
-2.8343315628280378e-37 1.048993961136996e-36 1.1807226845823178e-72 0.0
-5.801280618927674e-38 1.6436993589268228e-37 3.0382961507319073e-74 0.0
-1.1042679429309845e-38 2.508452080656538e-38 7.511739530735144e-76 0.0
-1.988325147666936e-39 3.726932607119885e-39 1.7843463550858162e-77 0.0
-3.4193805397218282e-40 5.388081567885124e-40 4.072358625761176e-79 0.0
-5.650055589116677e-41 7.574611604274635e-41 8.929786911572057e-81 0.0
-9.005828129077143e-42 1.0345424404217898e-41 1.8813274639386436e-82 0.0
-1.3885279909551546e-42 1.3711879560784507e-42 3.808166392560557e-84 0.0
-2.0749370793253483e-43 1.7609201843662702e-43 7.406203778867746e-86 0.0
